userName,score,at,content
Hilmi Najib,5,05/23/2023 14:22:00,"Tolong para pengemudi grb lbh mntngkn lalu lintas ya buat pnumpng anda , soalnya pnumpng mu adlh kslmtnmu jg yg tlh mnggjimu stiap hri jd brlku sopan lah trhdp pnumpngmu klau pnumpngmu negur jngn kbut kbtn tlng lah di hrgai jg ....."
Bang doy pati,3,05/23/2023 14:13:00,Bagus
Om _prank,5,05/23/2023 14:06:00,"Alhamdulillah akun grabb sy kembali, di karena memori penuh,..saat sekarang sy perlu jemputan anak.. Alhamdulillah ðŸ¤² memuaskan abang grabnya ramah dan tanggungjawab dan cepat.."
Sasa Bila,3,05/23/2023 14:06:00,kok gabisa di instal siiiiiiiðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­
Muhares Aprianto,5,05/23/2023 13:54:00,"Bpknya ramah, sopan juga mksh ya pa"
Ade Wawan,5,05/23/2023 13:48:00,grab aman selalu
Ali Prawira,5,05/23/2023 13:38:00,pinjaman julonya mana nih
Huri putra Zaeny Dahlan,5,05/23/2023 13:28:00,dgn adanya Grab.Tarip juga murah banget tingkatkan.Kinerja aplikasinya
Muhammad Raihan Al Hakim,2,05/23/2023 13:25:00,Grab sekarang ga ngotak sumpah kalo lg grabfood kemahalan ongkirnya pdhl jaraknya dkt sm ada tambahan biaya pemesanan dll pdhl ya gtu aja pemesanannya terus jrg ada gratis ongkir.
RAWANG ANGGADA,5,05/23/2023 13:16:00,Oke banget sy sering pakai grab dlm keadaan darurat
å†°å†°,1,05/23/2023 13:10:00,"Grab ini susah nge. Pasin titik map yaaa beda sm yg lainnya yg bs pas gt titiknya, tp ky gt malah supirnya itu gamau jemput di beda titik padahal cm tinggal jalan 1 blok lg, malah ngomel ""saya bukan supir pribadi"" Ya ampun, kalo mau di batalin silahkan ya pak, tp ngomongnya yg sopan. Taxi online merk lain itu buanyak !! Dan yg pelayanannya juaaaauh lebih oke itu juga buanyak"
Prika Vanie Setya Pambudi,5,05/23/2023 13:04:00,hookeee benerr
Lailia Alfina,1,05/23/2023 12:43:00,Tidak bisa di gunakan susah untuk menerima kode udah di tunggu lama tetep aj ga muncul muncul kode nya
dr. indra_ary,5,05/23/2023 12:08:00,luar biasa
Saka Oficial,5,05/23/2023 12:07:00,bagus
Noe Binti,5,05/23/2023 12:04:00,saya puas
#561;,3,05/23/2023 11:59:00,Biasa aj
Budi Dermawan,5,05/23/2023 11:47:00,Mantab mensejahterakan driver gak kaya gopartner menyiksa mitra trs berkembang
Zaitun27ajjh@gmail.com Itun,5,05/23/2023 11:37:00,Lebih efisien
assa jaya,5,05/23/2023 11:22:00,membantu
Satrio Saputra,1,05/23/2023 11:13:00,Mesen makanan ga sesuai sama yg dipesen malah akun saya dinonaktifkan bilang dana akan kembali knp akunnya ditangguhkan aneh ni aplikasi
Ratna Sari,5,05/23/2023 11:11:00,manap
Leo Nardus gulo,5,05/23/2023 10:46:00,bagus
Ashsyifa Nur hikmah,4,05/23/2023 10:43:00,"Banyaak Driver yg tidak mau paket promo, membatalkan sepihak, meminta tambahan dll.. untuk jadi perhatian.."
Ari Ekowati,5,05/23/2023 10:40:00,pelayanan cepat
Wahyu Andrianto,4,05/23/2023 10:38:00,Ok
Ainul Wardah,5,05/23/2023 10:20:00,Alhamdulillah app ini sangat membantu bagi keadaan darurat sekalipun
Dwi Kurnia,5,05/23/2023 10:17:00,okk
Dewi Handayani,5,05/23/2023 10:06:00,"pengemudi baik banget, bersedia muter2 dulu bantu nyari obat, sudah 3 apotik mampir obatnya ga ada. akhirnya ganti tujuan"
Sultanjamil 99,5,05/23/2023 10:01:00,Ok
A Di,5,05/23/2023 09:48:00,sangat membantu
Sri Nurhayati,5,05/23/2023 09:44:00,best grab
M. Eko Yuni Aryanto,5,05/23/2023 09:40:00,Mantap dengan pelayanan grab
Zulkarnain Doank,5,05/23/2023 09:36:00,Promonya mantabs.
Juandi Gina,5,05/23/2023 09:33:00,mantaaf cepat tepat
Puji Sutrisno,1,05/23/2023 09:32:00,Wwwccccccccccccc di ccccc ke y ee di edw yra tau guyon ow jes 2. Bu vivi ww ke dalam air vv. W qqqqq
Saroha Sinaga,5,05/23/2023 09:30:00,drivernya ramah
Desi Luciana,1,05/23/2023 09:30:00,Penanganan kasus kembali dana nya lambat srh nunggu sdh pas hari H nya dialihkan ke bank penerbit kacau lo
Cece Suhendi,5,05/23/2023 09:26:00,tepat waktu pokoknya puas dg Grab
Wahyono Ridy,5,05/23/2023 09:14:00,"Membantu, bagus, tingkatkan terus"
Iintjah Iintjah,5,05/23/2023 09:10:00,Bagus
Alfiansyah Siagian,5,05/23/2023 09:10:00,baik
Mediartono Mediartono (anto),4,05/23/2023 08:54:00,ok
Reno Suhendro,5,05/23/2023 08:49:00,baik..
Dian Prasetia,5,05/23/2023 08:32:00,driver ramah
irwanda irwanda,5,05/23/2023 08:25:00,sangat baik
Indah Lestari,5,05/23/2023 08:05:00,baik
finn whd,1,05/23/2023 07:59:00,"Mapsnya gak akurat. Masa iya restoran yg sebenernya jarak 2 km dari rumah jadi 11 km di grab, ongkirnya seharga pesanan pula, jadi mahal."
Devin XDM,4,05/23/2023 07:58:00,"Segini sih Ongkos Grab msh lbh baik dibanding apk sebelah ... Cmn kadang kasian sama driver yg di ksh harga terlalu rendah tp jaraknya jauh ... Yh di usahakan saja lagi Grab agar lebih bijak, jd jgn sampai memberatkan satu pihak saja.. antara penumpang dan driver harus seimbang! Biar driver juga ngerasa bener2 punya pendapatan gak cmn sekadar sedekah jasa saja, krna bnyak penumpang yg ga bayar parkir sama skali jelas2 ad struk parkirnya, atau gamau bayarin toll kadang.."
Ale Ale,5,05/23/2023 07:50:00,terimaksih
afritha bosoin,5,05/23/2023 07:30:00,terbaik ðŸ‘?ðŸ’¯
Intan Nur Rahma,1,05/23/2023 07:21:00,Saldo ovo tdk bs tersambung pd grab
Irma Suryani,1,05/23/2023 07:21:00,"saran untuk grab selaku saya mitra driver kalian dan juga consumen kalian , tolong kalau sekira nya toko/resto tutup tolong di aplikasi grab nya jangan di aktf kan ,kasian di drivernya jauh jauh ambil orderan keresto pas sampe resto tau nya toko/restonya tutup dan itu juga pengaruh ketingkat penyelsaian drivernya menurun gara gara cancel toko/resto tutup tolong di perbaiki sistem.nya"
Ali Ihwan,5,05/23/2023 07:12:00,ok
Epep Mlbb,5,05/23/2023 07:12:00,Mantap
Yono Wage,5,05/23/2023 07:10:00,josssss
Muzai Yana,5,05/23/2023 07:01:00,sopan dan ramah
wong ireng,1,05/23/2023 06:54:00,Nggak bisa di pake di androit 5
Dedy Saputra,2,05/23/2023 06:50:00,4rdx
A&P channel,5,05/23/2023 06:48:00,Bagus
Fandy Setiawan,5,05/23/2023 06:44:00,good
cekbong kunyu,5,05/23/2023 06:43:00,good
iza hakim,5,05/23/2023 06:41:00,pelayanan baik
Tuti,5,05/23/2023 06:32:00,Oke
a fandy,1,05/23/2023 06:30:00,4 download selalu aja perbaiki perangkat lunak. Hp gw g ada yg harus di perbaiki jujur gw udah ga nyaman sama appk ini. Kecewa.
Toni Arganto,5,05/23/2023 06:12:00,Grap sangat membantu saya
tri moelyono,5,05/23/2023 06:03:00,Alhamdulillah orgnya supel dan baik dalam berkendara
Mansyur Mauludin,5,05/23/2023 06:02:00,oke dan mantap
Eka Meidia,5,05/23/2023 05:56:00,layanan bik
Noor Aziz,5,05/23/2023 05:51:00,"baik, ramah"
orpa paembonan,5,05/23/2023 05:51:00,"orangnya baik, komunikasi sopan"
Lia Nurul,5,05/23/2023 05:40:00,bisa naik dimana aja nyaman banget
Yanwar Syahrir,5,05/23/2023 05:36:00,sangat membantu
Zahrotul Amin,5,05/23/2023 05:31:00,drivernya ramah
Mutiara,5,05/23/2023 05:30:00,sangat mantap dan mantul enak isi nya ckp bnyk manis keju nya pun sngt bnyk
Teddy Febrilianto,1,05/23/2023 05:29:00,Makin mahal segala2 Lamaaaa pengantarab
Heri Rahmat,5,05/23/2023 05:26:00,grab praktis lebih cepat ðŸ‘?ðŸ‘?ðŸ‘?
Sofyan Kamil,5,05/23/2023 05:03:00,Tolong adakan lagi grabike xl untuk area Purwokerto dong.
Sahila Sylvania,5,05/23/2023 04:55:00,ðŸ‘Œ
Torkis martua Harahap,1,05/23/2023 04:54:00,Kacau ini aplikasi
Zhivana Alexandra,2,05/23/2023 04:45:00,Buruk layanan semakin kesini. Perlu pembaharuan terusssss!!!
Bagas Satrio,5,05/23/2023 04:45:00,Bagus
Fitriaja Yayasip,4,05/23/2023 04:43:00,"Untuk apk ny sangat membantu tetapi setelah pembaruan ga bisa pesan makanan Gambarny tidak bisa dilihat ,,maaf tolong Diperbaiki lagi .."
Masitha Aulia,4,05/23/2023 04:42:00,Boleh
Miftakhul Jannah,5,05/23/2023 04:38:00,respon pengemudi cepat
Elfridus Sairul,5,05/23/2023 04:30:00,Bagus
siti thoyibah,5,05/23/2023 04:29:00,ramah banget
Yussro Yunus,5,05/23/2023 04:26:00,aplikasi yang bagus
KOPIRASTHA OFFICIAL,5,05/23/2023 04:25:00,terimakasih
WAYAN DARMA,5,05/23/2023 04:22:00,pengirimnya ramah. cepat sampainya
Amora eca,5,05/23/2023 04:21:00,memuaskan
Diego Bocil,1,05/23/2023 04:07:00,Ini kenapa pdhl quota full lhakok g ada smua gambar menunya udh diupdate di start ulang sama aja
Firman Arifin,5,05/23/2023 04:01:00,terima ksih pesanan udh sampe .. mas yg Anyer baik dan rama maaf tadi bingung cari uang pas ðŸ™?ðŸ™?
danni kurniawan,5,05/23/2023 03:46:00,okelah..membantu
Zellin Zoyaa,5,05/23/2023 03:44:00,murah syekalii ...
sharma sharma,5,05/23/2023 03:38:00,driver ramah
Adi Yusmin,4,05/23/2023 03:33:00,baik ramah
Misbah Anam,5,05/23/2023 03:30:00,Ok
Moh Hadiansyah ILham,5,05/23/2023 03:25:00,aman
Riel Gab,5,05/23/2023 03:21:00,my yang brp sih ya kalo ada grab-taxi and food
Ayah Iyan,5,05/23/2023 03:19:00,bagus
Dicky Prmd,5,05/23/2023 03:09:00,manatap
muhammad alipadin,5,05/23/2023 03:05:00,sangat baik
Ita Oktaviani,5,05/23/2023 02:30:00,baik
Ai Widianti,5,05/23/2023 02:30:00,sangat membantu
Puput Eka,5,05/23/2023 02:16:00,pelayanan yg bagus
Adam Senopati,5,05/23/2023 01:54:00,membantu semua keperluan
gondrong fardif2,5,05/23/2023 01:54:00,ramah dan profesional ðŸ‘?
Ekkres Joni,5,05/23/2023 01:47:00,ðŸ’¯ðŸ‘?
Tje Kusmalawati,5,05/23/2023 01:40:00,Otomatis akurat aman
Iin Wahiddah,5,05/23/2023 01:25:00,alhamdulillah membantu saya beraktifitas
akhminudin mahmud,5,05/23/2023 01:07:00,nyaman
Zulkarnain Kwee,5,05/23/2023 00:57:00,asik
Tyas Rica,5,05/23/2023 00:56:00,"Grab ini sangat membantu untuk saya yang hidup di daerah rantau. Pernah dalam 1 waktu, buka 2 aplikasi lain juga, dan 30 menit ga dapet driver karena kondisi pulang kerja dan saat itu sedang turun hujan. Tapi ketika pakai Grab, ga sampai 3 menit langsung dapat driver. Sangat membantu sekali, karena ada potongan harga juga dan harga yang ditawarkan termasuk murah apalagi kalau ada diskon. Terimakasih banyak Grab!"
Syaiful Amin,5,05/23/2023 00:50:00,good person
Calara Cika,1,05/23/2023 00:37:00,Ini knp susah bngt di download
DIKA,5,05/23/2023 00:26:00,bagus
GE Cfm 56,4,05/23/2023 00:08:00,cepat
Hery Suhendra,3,05/23/2023 00:05:00,Keren
rianto 1004,4,05/22/2023 23:51:00,Oke
Agus Triawan,5,05/22/2023 23:25:00,sopan
Raja Asmara,5,05/22/2023 23:13:00,bermanfaat...
Aeny Nur,5,05/22/2023 23:11:00,Pake Grab sangat membantu karna pembayarannya tersangka dan pengemudi juga sudah melewati uji coba sebelum menjadi driver jadi aman.
gbd rahendra,2,05/22/2023 23:00:00,"dulu sering pake aplikasi ini sbg alat transportasi online, sempat lama tidak menggunakan dan sekarang kembali menggunakan aplikasi ini, entah mengapa setiap order grabb bike 2 metode pembayaran (ovo dan cash) selalu minta kode terhadap drivernya langsung padahal biasa pesan di rumah dan belum tentu bertemu drivernya langsung, tolong kenapa ya bisa gitu? apalagi disaat situasi kondisi sedang urgent dan buru2 berangkat"
Budi Jayatrans,5,05/22/2023 22:24:00,perjalanan aman dan terpercaya
Tika lestari Family,5,05/22/2023 22:22:00,Ok
Yuyun Yuniawati,5,05/22/2023 22:20:00,pokonya mantap
Sutinah,5,05/22/2023 22:18:00,pelayanan bagus dan ramah
SOLIKIN Likin,5,05/22/2023 21:42:00,saya senang
wahyuni wahyuni,5,05/22/2023 21:42:00,Baik
Suripah Lau,3,05/22/2023 21:25:00,Sangat tepat di saat membutuhkan apa saja. Mantap.
Sara Yolandita,3,05/22/2023 21:07:00,"Dear Grab, Udah pernah pesan makan 5 kali di Grab dan tokonya udah tutup Bukan perihal, tapi kasian driver yang udah jauh jauh kesana eh tau tau udah tutup Tolong diperbaiki lagi dong tampilannya Grab, toko yg udah close otomatis gak bisa dipesan lagi :') Thankyou Grab"
AndiAsdar iskandar,5,05/22/2023 20:48:00,good
Devis Arzseven,5,05/22/2023 20:37:00,Keren membantu
Kipot Topik,5,05/22/2023 20:03:00,beleh boleh boleh
Andi Pujo Sasongko,1,05/22/2023 19:49:00,Akhir2 ini rekanan grab baik resto dan driver seenaknya membatalkan pesanan padahal saya sudah memunggu karena mereka awalnya menerima order
Jaka Thingil,4,05/22/2023 19:23:00,sangat puas
Reni Setiawarni,5,05/22/2023 19:20:00,good
Gusty Gusty,5,05/22/2023 18:31:00,Yes lah
Aan Juansyah,5,05/22/2023 18:09:00,grab ok
Ikhwan 617,2,05/22/2023 17:00:00,lebih mudah menemukan titik jemput
adnAN174 channel,5,05/22/2023 16:19:00,Alhamdulillahi rabbil 'aalamiin
Heri Susi,1,05/22/2023 16:13:00,Aneh sekarang ngambil rutenya malah dikasih yg jauh pdahal udah biasa ad jalan deket
Abdul Hadilessy,5,05/22/2023 16:10:00,mantap dah
Ayu Rantansari,3,05/22/2023 16:03:00,"sebenarnya cukup membantu, khususnya layanan grabfood, terasa murah promonya kalau emang beli untuk ukuran banyak dan kelompok, tetapi hal ini tidak berlaku kalau cuma beli sedikit. saya ingin membeli es teh dengan harga lima ribu, tetapi harus membayar ongkir sembilan ribu dan biaya operasional tiga ribu tanpa ada promo, padahal jarak tidak ada 1 km. saya merasa sedang membeli ongkir daripada es teh. terlalu banyak biaya administrasi dan promo yang ditawarkan kurang menunjang."
M. IQBAL MAULANA,1,05/22/2023 15:51:00,"Tolong dong untuk biyaya yg lain ditiadakan, kami sebagai merchant merasa tertekan adanya biyaya tambahan , karena sepinya konsumen & trlalu mhl makanan. Kami merchant menurunkan harga ,tapi untung di kami tidak ada , jika Di naikan sepi orderan , Belum lagi di potong dengan promo yg tidak tepat sasaran itu , kami di paksa untuk ikut iklan, tapi tidak ada orderan masuk, biyaya iklan terus membengkak , hanya karena mengklik, bisa jadi yg klik iklan kami adalah bot , jadi kami harus menanggung"
Dedi Risal,1,05/22/2023 15:40:00,Aplikasi minta update sudah di update berkali2 tetap tidak bisa
purwanto purwa,5,05/22/2023 14:53:00,orangnya santun ðŸ‘?ðŸ‘?
Cahyadin Basyar,5,05/22/2023 14:47:00,cukup bagus
Kiki Wahidah,1,05/22/2023 14:30:00,Lier lila download deui
Sebastian Ady Prasetyo,5,05/22/2023 14:27:00,Seru
BAMBANG BERIAMTORO310785,5,05/22/2023 14:25:00,ok
Nardi Ptk,1,05/22/2023 14:25:00,Kalo pesen titiknya gak tepat
Dimas Putra,5,05/22/2023 14:24:00,Mantap Banget Aplikasi Grab Nya ðŸ‘?ðŸ‘?
Ideas Raivan,5,05/22/2023 14:18:00,pengemudi ramah serta bersahabat
Boyke zanny,5,05/22/2023 14:12:00,GOOOOOOOOOOOODDDD
Upie Upie,5,05/22/2023 14:07:00,bagus
Yudi City,5,05/22/2023 13:48:00,ok
ubhe thea,5,05/22/2023 13:47:00,terima bapa sehat selalu
all rizqy,1,05/22/2023 13:39:00,smkin jlek . alamat map aja sellu tidak akurat .
Fahrezza Dwianputra,5,05/22/2023 13:17:00,grab emang mantap
Tia Setya,5,05/22/2023 13:16:00,"keren sih app nya, membantu banget and mudah diaksesðŸ‘? Thank youâ?¤ðŸ¦‹"
Elang Suherman,5,05/22/2023 13:15:00,okay
wahyudi yudi,5,05/22/2023 12:50:00,terima kasih sangat baik
Anaura Anindya Ramadani,2,05/22/2023 12:49:00,"Sekarang mahal bgt kalo pake grab,,, makin kesini makin kesana harganya,,,,jadi males ngegrab lagi"
Hendry Siagian,4,05/22/2023 12:43:00,ok
Edi Sanesti,5,05/22/2023 12:42:00,bagus
Kere Gaming,1,05/22/2023 12:35:00,Makin ke sini makin parah promonya ngga bisa di pake padahal metode pembayaranya buat semua nya
WonG KamPuNg,1,05/22/2023 12:34:00,"aplikasi sekarang jelek udah 2 x di donwload g bisa masuk,padahal dulu ga gini, aplikasi Buang2 kuota ,nyesel"
Laeli Fadilah,5,05/22/2023 12:20:00,good
Melinda Lili,5,05/22/2023 12:16:00,ok
Aisyah Misriyah,5,05/22/2023 12:15:00,aplikasi sangat membantu
jaesgx287 287,1,05/22/2023 12:15:00,Gak bisa mesen makanan
Yanti Yanti,5,05/22/2023 12:06:00,aplikasi yg bagus
euis wartini,5,05/22/2023 12:02:00,"Alhamdulillah, baik driver nya"
betty heru,5,05/22/2023 11:57:00,"pengemudinya okey, ramah & supel."
Kent MT,1,05/22/2023 11:46:00,Biaya pemesanan sangat mahal
Zulfian Pian,5,05/22/2023 11:39:00,mantap
Rara Rara,5,05/22/2023 11:23:00,sangat bagus dan tepat waktu
Zainal Sarmili,5,05/22/2023 11:22:00,Ok
Devie Saputri Damayanti,5,05/22/2023 11:18:00,aplikasi nya sangat membantu
attenty sartono,5,05/22/2023 11:14:00,good cmn ongkir mahal
Anas prokocot,5,05/22/2023 11:09:00,Mantappp sangatlah membantu
Widi Arya Kusuma,5,05/22/2023 11:01:00,ðŸ™?ðŸ™?ðŸ™?ðŸ™?
Al Maknun,5,05/22/2023 10:54:00,Ntaps
Taufik Hidayat,5,05/22/2023 10:47:00,ok
Syifa Nur Hasanah,5,05/22/2023 10:46:00,Semoga bisa baik sama saya.
Asep solehudin,5,05/22/2023 10:37:00,supirnya baik suka membantu
Minem,5,05/22/2023 10:36:00,Ramah ram
Vicky Hasyim,1,05/22/2023 10:35:00,gimana grab ini di aplikasi saya pembayaran gk sesuai sama aplikasi driver nya tutup aja kelen uda
agoestoni toni,4,05/22/2023 10:30:00,aman nyaman...
Andi Setia,5,05/22/2023 10:30:00,mntap
Siti Saadah,5,05/22/2023 10:21:00,sangat membantu
Rat Na,5,05/22/2023 10:20:00,terimakasih pak
Lulu tobing Tobing,5,05/22/2023 10:12:00,sangat membantu ketika ga ada yg antar jmput
Suhati Wati,4,05/22/2023 10:07:00,keren tepat waktu
Sinar Bintang,5,05/22/2023 09:54:00,sangat baik dan ramah orangnya
Ari asgar ari,5,05/22/2023 09:51:00,layanan memuaskan
Julio Mahardika,5,05/22/2023 09:41:00,perjalananya nyaman. .
Ermawan Wawan,1,05/22/2023 09:40:00,Tidak dpat di update
Reni Nuraini,5,05/22/2023 09:39:00,supir nya ramah dan menyenangkan
Ayu Wulandari,5,05/22/2023 09:33:00,"grab sangat membantu sekali,jalan kmna pun"
Aziyah 2019,5,05/22/2023 09:31:00,oke
Fauzzir,1,05/22/2023 09:29:00,"Aplikator culas, maksudnya apa gk tampilin rating konsumen di aplikasi mitra, biar konsumen yg rating nya ancur harus tetep di bawah gitu?"
Eny Darsono,5,05/22/2023 09:27:00,"terimakasih, sangat membantu"
Ahjad Ezad,4,05/22/2023 09:27:00,oke good
Ahmad Zainudin,5,05/22/2023 09:19:00,mantap
Mulyadi Yadi,5,05/22/2023 09:11:00,Baik
Cep Ahoy,5,05/22/2023 09:02:00,mantap
sony bignoeng,1,05/22/2023 08:55:00,sngat memuaskan
Pdt. Barnabas Ria,5,05/22/2023 08:51:00,Bagus saya suka pakai grab
Nurul Hasanah,5,05/22/2023 08:48:00,mantap
Rani Indah,5,05/22/2023 08:47:00,suka
IYAN BAE,5,05/22/2023 08:33:00,Terbaik
Intan Widyasari,5,05/22/2023 08:16:00,Baguss
ali maskur,5,05/22/2023 08:08:00,pelayan cepat
Yoakim Candra,5,05/22/2023 07:49:00,nice
Firdaus Pratama,5,05/22/2023 07:33:00,bagus
Tarjo Ae,1,05/22/2023 07:18:00,Berulang x download gk bisa
Bernard Paulinus,4,05/22/2023 07:08:00,good
kania adilla,1,05/22/2023 07:00:00,lama pas di donlowad udh selesai malah gabisa di buka
Rendi Ainur,5,05/22/2023 06:54:00,sangat membantu
Umi Nurhayati,5,05/22/2023 06:49:00,baik
Nasir Mukhdar,5,05/22/2023 06:42:00,mantapa
Sepfry Chan,5,05/22/2023 06:35:00,"Apk Grab lebih murah harga nya dan banyak Promo di bandingkan dengan Apk Ijo satu nya lagi, harga mahal dan sedikit Promo. Saya cocok nya sama Apk Grab di bandingkan dengan Apk Gojek. Krn Grab lebih Murah Harga nya di bandingkan dengan Apk Gojek. Tks Grab Indonesia...."
chezz channel,5,05/22/2023 06:25:00,Menyenangkan
Rian Batubara,5,05/22/2023 06:25:00,nyaman
Ivona Malayeka,5,05/22/2023 06:22:00,ðŸ‘?ðŸ‘?
